type;auteur;annee;lien;titre;
hdr;A. Ern;1997;;Contribution à la modélisation mathématique et numérique des écoulements laminaires avec chimie complexe et transport multi-espèces;
hdr;C. Le Bris;1997;;Contribution à l'étude mathématique et numérique de quelques problèmes non linéaires issus des sciences physiques : chimie quantique moléculaire et mécanique des fluides;
hdr;S. Cohen;1998;;Université de Versailles, 17 décembre 1998;
hdr;B. Lapeyre;1998;;Université Paris 6, 7 juillet 1998;
hdr;S. Piperno;2000;http://cermics.enpc.fr/theses/2000/piperno.pdf;Contribution à l'étude mathématique et à la simulation numérique de phénomènes d'interaction fluide-structure;
hdr;M. De Lara;2000;;Structures géométriques Riemanniennes, modélisation de processus aléatoires de diffusion, application au filtrage non linéaire;
hdr;J. Lerbet;2001;;Synthèse des travaux: géométrie et mécanique;
hdr;B. Jourdain;2002;http://cermics.enpc.fr/theses/2002/jourdain.pdf;Interprétation probabiliste d' équations d'évolution non linéaires et applications;
hdr;R. Monneau;2002;http://cermics.enpc.fr/theses/2002/monneau.pdf;Contribution a l' étude de problèmes à frontières libres et d'équations aux dérivées partielles elliptiques non linéaires. Applications en combustion et élasticité;
hdr;E. Cancès;2003;http://cermics.enpc.fr/theses/2003/cances.pdf;Contributions à l'étude mathématique et numérique de modèles intervenant en simulation moléculaire et multi-échelle;
hdr;J.-F. Delmas;2003;http://cermics.enpc.fr/theses/2003/delmas.pdf;Quelques propriétés des superprocessus;
hdr;S. Lanteri;2003;http://www.inria.fr/rrrt/th-026.html;Méthodes numériques performantes en maillages non-structurés et applications en mécanique des fluides compressibles;
hdr;G. Turinici;2004;http://cermics.enpc.fr/theses/2004/turinici.pdf;Contrôle et simulations numériques en chimie quantique;
hdr;C. Imbert;2007;http://cermics.enpc.fr/theses/2007/imbert.pdf;Équations intégro-différentielles non-linéaires : questions d'existence, de régularité et d'homogénéisation;
hdr;T. Lelièvre;2009;http://tel.archives-ouvertes.fr/tel-00392808/fr/;Analyse mathématique et numérique de modèles pour les matériaux, de l'échelle microscopique à l'échelle macroscopique;
hdr;J.-Ph. Chancelier;2011;;Contributions à la commande de systèmes dynamiques, aspects numériques et applications;
hdr;G. Stoltz;2012;http://tel.archives-ouvertes.fr/tel-00709965;Simulation moléculaire : Problèmes dynamiques et hors d'équilibre;
